stop_condition,status,evidence,notes
"branch_head_containment_failed",not_hit,"Expected branch and HEAD verified",""
"dirty_worktree_before_worker",not_hit,"Git status clean before worker invocation",""
"cli_help_diagnostic_failed",not_hit,"codex exec --help exited 0 with zero stderr before worker",""
"preflight_failed",not_hit,"Mission preflight GREEN",""
"role_preflight_failed",not_hit,"Role-aware permission preflight GREEN",""
"approval_missing",not_hit,"Approval matched active exact fixture worker action",""
"worker_invocation_count_exceeded",not_hit,"Exactly one codex exec worker invocation was run",""
"codex_exec_nonzero",hit,"codex exec exited 1","Unsupported service_tier: flex"
"expected_artifact_missing",hit,"Verifier RED","Artifact was not created"
"forbidden_path_touched",not_hit,"Git status after worker showed no touched files",""
"worker_retry_required",hit,"One-attempt cap consumed","No retry was run"
"push_merge_deploy_install_migration_secret_required",not_hit,"No forbidden publication/environment action occurred",""
"product_or_canonical_repo_mutation_required",not_hit,"No product repo or canonical NWR mutation occurred",""
