stop_condition,status,evidence,action
"branch_containment",not_hit,"Branch and HEAD matched expected state before worker execution.","continued"
"dirty_worktree_before_worker",not_hit,"Worktree was clean before the Codex worker attempt.","continued"
"missing_exact_approval",not_hit,"Approval ledger matched exact action codex_cli_fixture_worker_invocation.","continued"
"role_permission_blocked",not_hit,"Role-aware permission preflight returned GREEN.","continued"
"more_than_one_codex_exec_invocation",not_hit,"Exactly one codex exec worker invocation was run.","stopped_after_one"
"codex_cli_auth_or_credentials_required",not_hit,"No login, credential, API key setup, or auth-change request was observed.","continued"
"read_only_sandbox_blocked_write",hit,"Worker reported read-only sandbox with approval disabled and no files changed.","failed_closed"
"expected_artifact_missing",hit,"Expected fixture artifact was not created.","failed_closed"
"artifact_content_mismatch",not_applicable,"Artifact was not created.","failed_closed"
"forbidden_path_touched",not_hit,"Worker touched no files.","continued"
"product_repo_or_canonical_nwr_scope",not_hit,"No product repo or canonical NWR path was touched.","continued"
"api_or_background_runner",not_hit,"No API call or background runner was started.","continued"
