"from_state","to_state","executor_use","worker_execution_allowed","notes"
"inbox","drafted","start normalization","false","Allowed for fresh queue intake."
"drafted","preflight_pending","preflight entry","false","Mission enters kernel and role preflight."
"preflight_pending","approved_for_worker","approved mission","false","Requires kernel and role preflight GREEN."
"preflight_pending","blocked_needs_tim","blocked mission","false","Used for missing approval, role block, or hard gate."
"approved_for_worker","worker_running","foreground worker only","true","Requires explicit -RunApprovedFixtureWorker."
"worker_running","postrun_pending","post worker","false","Worker has returned and verifier is next."
"postrun_pending","complete_review_only","verified fixture","false","Default GREEN fixture terminal state."
"postrun_pending","complete_ready_for_gate","verified gate candidate","false","Reserved for future publication-ready missions."
"postrun_pending","blocked_needs_tim","failed closed","false","Used for verifier RED or unclear execution."
"drafted","stopped","manual stop","false","Preserved stop path."
"blocked_needs_tim","archived","archive","false","Terminal archival."
"complete_review_only","archived","archive","false","Terminal archival."
"complete_ready_for_gate","archived","archive","false","Terminal archival."
"stopped","archived","archive","false","Terminal archival."
